"iden"	"k"	"D"	"call.sag"	"call.gm"	"ppv"
"is.sag"	15	1	1	661	339	1
"is.gm"	15	1	1	0	145886	0.997681654983758
"is.sag"	16	1	1	661	339	1
"is.gm"	16	1	1	0	145886	0.997681654983758
"is.sag"	17	1	1	657	343	1
"is.gm"	17	1	1	0	145886	0.997654364045436
"is.sag"	18	1	1	617	383	1
"is.gm"	18	1	1	0	145886	0.997381536757618
"is.sag"	19	1	1	561	439	1
"is.gm"	19	1	1	0	145886	0.996999829147446
"is.sag"	20	1	1	523	477	1
"is.gm"	20	1	1	0	145886	0.996740979619166
"is.sag"	21	1	1	506	494	1
"is.gm"	21	1	1	0	145886	0.996625222024867
"is.sag"	22	1	1	496	504	1
"is.gm"	22	1	1	0	145886	0.996557141881276
"is.sag"	23	1	1	491	509	1
"is.gm"	23	1	1	0	145886	0.996523105297312
"is.sag"	24	1	1	490	510	1
"is.gm"	24	1	1	0	145886	0.996516298259515
"is.sag"	25	1	1	487	513	1
"is.gm"	25	1	1	0	145886	0.996495877704083
"is.sag"	26	1	1	481	519	1
"is.gm"	26	1	1	0	145886	0.996455039103856
"is.sag"	27	1	1	479	521	1
"is.gm"	27	1	1	0	145886	0.99644142698095
"is.sag"	28	1	1	478	522	1
"is.gm"	28	1	1	0	145886	0.996434621058959
"is.sag"	29	1	1	474	526	1
"is.gm"	29	1	1	0	145886	0.996407398300686
"is.sag"	30	1	1	473	527	1
"is.gm"	30	1	1	0	145886	0.996400592843532
"is.sag"	31	1	1	471	529	1
"is.gm"	31	1	1	0	145886	0.996386982208107
"is.sag"	32	1	1	470	530	1
"is.gm"	32	1	1	0	145886	0.996380177029833
"is.sag"	33	1	1	467	533	1
"is.gm"	33	1	1	0	145886	0.996359762052739
"is.sag"	34	1	1	465	535	1
"is.gm"	34	1	1	0	145886	0.996346152532765
"is.sag"	35	1	1	458	542	1
"is.gm"	35	1	1	0	145886	0.996298522140574
"is.sag"	36	1	1	454	546	1
"is.gm"	36	1	1	0	145886	0.996271306818182
"is.sag"	37	1	1	453	547	1
"is.gm"	37	1	1	0	145886	0.996264503219903
"is.sag"	38	1	1	452	548	1
"is.gm"	38	1	1	0	145886	0.996257699714547
"is.sag"	39	1	1	449	551	1
"is.gm"	39	1	1	0	145886	0.996237289756004
"is.sag"	40	1	1	444	556	1
"is.gm"	40	1	1	0	145886	0.99620327501673
"is.sag"	15	2	1	930	70	0.821554770318021
"is.gm"	15	2	1	202	145684	0.999519738737873
"is.sag"	16	2	1	930	70	0.824468085106383
"is.gm"	16	2	1	198	145688	0.999519751917562
"is.sag"	17	2	1	916	84	0.862523540489642
"is.gm"	17	2	1	146	145740	0.999423963133641
"is.sag"	18	2	1	851	149	0.931072210065646
"is.gm"	18	2	1	63	145823	0.998979256295728
"is.sag"	19	2	1	762	238	0.964556962025316
"is.gm"	19	2	1	28	145858	0.998370934180265
"is.sag"	20	2	1	709	291	0.980636237897649
"is.gm"	20	2	1	14	145872	0.998009072063381
"is.sag"	21	2	1	684	316	0.987012987012987
"is.gm"	21	2	1	9	145877	0.997838473798335
"is.sag"	22	2	1	668	332	0.995529061102832
"is.gm"	22	2	1	3	145883	0.997729371131553
"is.sag"	23	2	1	658	342	0.996969696969697
"is.gm"	23	2	1	2	145884	0.99766115465102
"is.sag"	24	2	1	657	343	1
"is.gm"	24	2	1	0	145886	0.997654364045436
"is.sag"	25	2	1	652	348	1
"is.gm"	25	2	1	0	145886	0.997620252472065
"is.sag"	26	2	1	645	355	1
"is.gm"	26	2	1	0	145886	0.997572500188046
"is.sag"	27	2	1	642	358	1
"is.gm"	27	2	1	0	145886	0.997552036322858
"is.sag"	28	2	1	641	359	1
"is.gm"	28	2	1	0	145886	0.997545215221033
"is.sag"	29	2	1	637	363	1
"is.gm"	29	2	1	0	145886	0.997517931746542
"is.sag"	30	2	1	634	366	1
"is.gm"	30	2	1	0	145886	0.997497470120067
"is.sag"	31	2	1	632	368	1
"is.gm"	31	2	1	0	145886	0.997483829502099
"is.sag"	32	2	1	631	369	1
"is.gm"	32	2	1	0	145886	0.997477009333014
"is.sag"	33	2	1	628	372	1
"is.gm"	33	2	1	0	145886	0.997456549385333
"is.sag"	34	2	1	626	374	1
"is.gm"	34	2	1	0	145886	0.997442909886504
"is.sag"	35	2	1	618	382	1
"is.gm"	35	2	1	0	145886	0.997388355621189
"is.sag"	36	2	1	613	387	1
"is.gm"	36	2	1	0	145886	0.997354262235683
"is.sag"	37	2	1	611	389	1
"is.gm"	37	2	1	0	145886	0.997340625534097
"is.sag"	38	2	1	610	390	1
"is.gm"	38	2	1	0	145886	0.997333807323143
"is.sag"	39	2	1	607	393	1
"is.gm"	39	2	1	0	145886	0.997313353249612
