"iden"	"k"	"D"	"call.sag"	"call.gm"	"ppv"
"is.sag"	15	1	1	559	441	0.563508064516129
"is.gm"	15	1	1	433	145453	0.996977257460896
"is.sag"	16	1	1	559	441	0.565217391304348
"is.gm"	16	1	1	430	145456	0.996977319615893
"is.sag"	17	1	1	559	441	0.585953878406709
"is.gm"	17	1	1	395	145491	0.996978044568703
"is.sag"	18	1	1	559	441	0.656103286384977
"is.gm"	18	1	1	293	145593	0.996980155306299
"is.sag"	19	1	1	559	441	0.724093264248705
"is.gm"	19	1	1	213	145673	0.996981808724694
"is.sag"	20	1	1	559	441	0.777468706536857
"is.gm"	20	1	1	160	145726	0.996982903117667
"is.sag"	21	1	1	559	441	0.810144927536232
"is.gm"	21	1	1	131	145755	0.996983501600591
"is.sag"	22	1	1	559	441	0.824483775811209
"is.gm"	22	1	1	119	145767	0.996983749179251
"is.sag"	23	1	1	559	441	0.826923076923077
"is.gm"	23	1	1	117	145769	0.99698379043841
"is.sag"	24	1	1	559	441	0.836826347305389
"is.gm"	24	1	1	109	145777	0.99698395546376
"is.sag"	25	1	1	559	441	0.840601503759398
"is.gm"	25	1	1	106	145780	0.99698401734361
"is.sag"	26	1	1	559	441	0.841867469879518
"is.gm"	26	1	1	105	145781	0.996984037969663
"is.sag"	27	1	1	559	441	0.850837138508371
"is.gm"	27	1	1	98	145788	0.996984182344131
"is.sag"	28	1	1	559	441	0.850837138508371
"is.gm"	28	1	1	98	145788	0.996984182344131
"is.sag"	29	1	1	559	441	0.853435114503817
"is.gm"	29	1	1	96	145790	0.996984223591441
"is.sag"	30	1	1	559	441	0.870716510903427
"is.gm"	30	1	1	83	145803	0.996984491671453
"is.sag"	31	1	1	559	441	0.880314960629921
"is.gm"	31	1	1	76	145810	0.996984636002489
"is.sag"	32	1	1	559	441	0.884493670886076
"is.gm"	32	1	1	73	145813	0.996984697854418
"is.sag"	33	1	1	559	441	0.891547049441786
"is.gm"	33	1	1	68	145818	0.996984800935327
"is.sag"	34	1	1	559	441	0.8944
"is.gm"	34	1	1	66	145820	0.996984842165717
"is.sag"	35	1	1	559	441	0.900161030595813
"is.gm"	35	1	1	62	145824	0.996984924623116
"is.sag"	36	1	1	559	441	0.91042345276873
"is.gm"	36	1	1	55	145831	0.996985068912711
"is.sag"	37	1	1	559	441	0.913398692810457
"is.gm"	37	1	1	53	145833	0.996985110135773
"is.sag"	38	1	1	559	441	0.914893617021277
"is.gm"	38	1	1	52	145834	0.996985130746881
"is.sag"	39	1	1	559	441	0.925496688741722
"is.gm"	39	1	1	45	145841	0.996985275016748
"is.sag"	40	1	1	559	441	0.928571428571429
"is.gm"	40	1	1	43	145843	0.996985316234175
"is.sag"	15	2	1	933	67	0.421981004070556
"is.gm"	15	2	1	1278	144608	0.999536893036115
"is.sag"	16	2	1	933	67	0.42312925170068
"is.gm"	16	2	1	1272	144614	0.999536912241414
"is.sag"	17	2	1	933	67	0.45181598062954
"is.gm"	17	2	1	1132	144754	0.999537359913272
"is.sag"	18	2	1	933	67	0.554367201426025
"is.gm"	18	2	1	750	145136	0.999538577026646
"is.sag"	19	2	1	933	67	0.681519357195033
"is.gm"	19	2	1	436	145450	0.999539572695974
"is.sag"	20	2	1	933	67	0.766639276910436
"is.gm"	20	2	1	284	145602	0.99954005313416
"is.sag"	21	2	1	933	67	0.812717770034843
"is.gm"	21	2	1	215	145671	0.999540270897089
"is.sag"	22	2	1	933	67	0.830810329474622
"is.gm"	22	2	1	190	145696	0.99954034974582
"is.sag"	23	2	1	933	67	0.835273052820054
"is.gm"	23	2	1	184	145702	0.999540368665491
"is.sag"	24	2	1	933	67	0.845874886672711
"is.gm"	24	2	1	170	145716	0.999540412805334
"is.sag"	25	2	1	933	67	0.851277372262774
"is.gm"	25	2	1	163	145723	0.999540434872076
"is.sag"	26	2	1	933	67	0.852833638025594
"is.gm"	26	2	1	161	145725	0.999540441176471
"is.sag"	27	2	1	933	67	0.86070110701107
"is.gm"	27	2	1	151	145735	0.999540472695848
"is.sag"	28	2	1	933	67	0.863888888888889
"is.gm"	28	2	1	147	145739	0.999540485302388
"is.sag"	29	2	1	933	67	0.868715083798883
"is.gm"	29	2	1	141	145745	0.999540504210902
"is.sag"	30	2	1	933	67	0.882686849574267
"is.gm"	30	2	1	124	145762	0.999540557776574
"is.sag"	31	2	1	933	67	0.890267175572519
"is.gm"	31	2	1	115	145771	0.999540586129815
"is.sag"	32	2	1	933	67	0.89367816091954
"is.gm"	32	2	1	111	145775	0.999540598730133
"is.sag"	33	2	1	933	67	0.900579150579151
"is.gm"	33	2	1	103	145783	0.999540623928694
"is.sag"	34	2	1	933	67	0.904946653734239
"is.gm"	34	2	1	98	145788	0.999540639676391
"is.sag"	35	2	1	933	67	0.909356725146199
"is.gm"	35	2	1	93	145793	0.999540655423008
"is.sag"	36	2	1	933	67	0.921936758893281
"is.gm"	36	2	1	79	145807	0.999540699507794
"is.sag"	37	2	1	933	67	0.925595238095238
"is.gm"	37	2	1	75	145811	0.999540712101893
"is.sag"	38	2	1	933	67	0.926514399205561
"is.gm"	38	2	1	74	145812	0.99954071525031
"is.sag"	39	2	1	933	67	0.934869739478958
"is.gm"	39	2	1	65	145821	0.999540743584119
"is.sag"	40	2	1	933	67	0.937688442211055
"is.gm"	40	2	1	62	145824	0.999540753027946
"is.sag"	15	1	2	790	210	0.434782608695652
"is.gm"	15	1	2	1027	144859	0.998552412989681
"is.sag"	16	1	2	790	210	0.43646408839779
"is.gm"	16	1	2	1020	144866	0.998552482836582
"is.sag"	17	1	2	790	210	0.463887257780388
"is.gm"	17	1	2	913	144973	0.998553549658018
"is.sag"	18	1	2	790	210	0.561079545454545
"is.gm"	18	1	2	618	145268	0.998556482767154
"is.sag"	19	1	2	790	210	0.675213675213675
"is.gm"	19	1	2	380	145506	0.99855884048423
"is.sag"	20	1	2	790	210	0.751665080875357
"is.gm"	20	1	2	261	145625	0.998560016456955
"is.sag"	21	1	2	790	210	0.797174571140262
"is.gm"	21	1	2	201	145685	0.998560608656911
"is.sag"	22	1	2	790	210	0.817805383022774
"is.gm"	22	1	2	176	145710	0.998560855263158
"is.sag"	23	1	2	790	210	0.822916666666667
"is.gm"	23	1	2	170	145716	0.998560914436084
"is.sag"	24	1	2	790	210	0.833333333333333
"is.gm"	24	1	2	158	145728	0.99856103276734
"is.sag"	25	1	2	790	210	0.839532412327311
"is.gm"	25	1	2	151	145735	0.998561101784919
"is.sag"	26	1	2	790	210	0.841320553780618
"is.gm"	26	1	2	149	145737	0.998561121503011
"is.sag"	27	1	2	790	210	0.849462365591398
"is.gm"	27	1	2	140	145746	0.99856121022774
"is.sag"	28	1	2	790	210	0.853131749460043
"is.gm"	28	1	2	136	145750	0.99856124965744
"is.sag"	29	1	2	790	210	0.857763300760043
"is.gm"	29	1	2	131	145755	0.998561298941527
"is.sag"	30	1	2	790	210	0.87292817679558
"is.gm"	30	1	2	115	145771	0.998561456627917
"is.sag"	31	1	2	790	210	0.880713489409142
"is.gm"	31	1	2	107	145779	0.998561535458151
"is.sag"	32	1	2	790	210	0.885650224215247
"is.gm"	32	1	2	102	145784	0.99856158472266
"is.sag"	33	1	2	790	210	0.893665158371041
"is.gm"	33	1	2	94	145792	0.998561663538856
"is.sag"	34	1	2	790	210	0.898748577929465
"is.gm"	34	1	2	89	145797	0.998561712794592
"is.sag"	35	1	2	790	210	0.903890160183066
"is.gm"	35	1	2	84	145802	0.998561762046955
