"iden"	"k"	"D"	"call.sag"	"call.gm"	"ppv"
"is.sag"	15	1	1	584	416	0.429096252755327
"is.gm"	15	1	1	777	145109	0.997141384641814
"is.sag"	16	1	1	584	416	0.429096252755327
"is.gm"	16	1	1	777	145109	0.997141384641814
"is.sag"	17	1	1	579	421	0.438636363636364
"is.gm"	17	1	1	741	145145	0.997107841116744
"is.sag"	18	1	1	572	428	0.487223168654174
"is.gm"	18	1	1	602	145284	0.99706269902273
"is.sag"	19	1	1	491	509	0.567630057803468
"is.gm"	19	1	1	374	145512	0.996514200012327
"is.sag"	20	1	1	372	628	0.641379310344828
"is.gm"	20	1	1	208	145678	0.995707626481484
"is.sag"	21	1	1	285	715	0.7002457002457
"is.gm"	21	1	1	122	145764	0.995118754224155
"is.sag"	22	1	1	241	759	0.734756097560976
"is.gm"	22	1	1	87	145799	0.994821162952551
"is.sag"	23	1	1	217	783	0.777777777777778
"is.gm"	23	1	1	62	145824	0.994659190898115
"is.sag"	24	1	1	194	806	0.798353909465021
"is.gm"	24	1	1	49	145837	0.994503658544902
"is.sag"	25	1	1	192	808	0.813559322033898
"is.gm"	25	1	1	44	145842	0.994490282986703
"is.sag"	26	1	1	186	814	0.808695652173913
"is.gm"	26	1	1	44	145842	0.994449596334279
"is.sag"	27	1	1	178	822	0.820276497695853
"is.gm"	27	1	1	39	145847	0.994395543707259
"is.sag"	28	1	1	170	830	0.817307692307692
"is.gm"	28	1	1	38	145848	0.994341346350509
"is.sag"	29	1	1	168	832	0.831683168316832
"is.gm"	29	1	1	34	145852	0.994327943061275
"is.sag"	30	1	1	141	859	0.834319526627219
"is.gm"	30	1	1	28	145858	0.994145191082151
"is.sag"	31	1	1	139	861	0.832335329341317
"is.gm"	31	1	1	28	145858	0.994131639392308
"is.sag"	32	1	1	137	863	0.835365853658537
"is.gm"	32	1	1	27	145859	0.994118128160739
"is.sag"	33	1	1	129	871	0.843137254901961
"is.gm"	33	1	1	24	145862	0.994064048305425
"is.sag"	34	1	1	126	874	0.851351351351351
"is.gm"	34	1	1	22	145864	0.994043805967098
"is.sag"	35	1	1	112	888	0.842105263157895
"is.gm"	35	1	1	21	145865	0.993949016374452
"is.sag"	36	1	1	101	899	0.863247863247863
"is.gm"	36	1	1	16	145870	0.993874728314562
