PC_0	PC_1	PC_2	status
>3Sequence0000000598	-5.778458e+00	-1.436882e+00	-3.917499e-01	1
>3Sequence0000001279	-2.731269e+00	1.120568e-01	1.608521e+00	1
>1Sequence0000000535	-2.549916e+00	-2.879241e+00	-1.022403e+00	1
>2Sequence0000000292	-5.143074e+00	-6.756504e-01	-1.508792e+00	1
>1Sequence0000001150	-3.732172e+00	-1.256246e-01	1.678728e+00	1
>3Sequence0000003908	-4.469253e+00	1.025449e-01	-3.447292e-01	1
>2Sequence0000000411	-4.072109e+00	-2.840011e+00	1.964907e-01	1
>3Sequence0000000292	-2.578201e+00	-6.141851e-01	1.665294e+00	1
>1Sequence0000003692	-1.619400e+00	-5.738521e-01	-5.997292e-01	1
>3Sequence0000000880	-4.000679e+00	-5.494794e-02	-1.007390e+00	1
>1Sequence0000001308	-3.019999e+00	-1.384790e+00	-1.258580e+00	1
>1Sequence0000003382	-3.183363e+00	-1.510017e+00	-3.122258e+00	1
>2Sequence0000003042	-9.610387e-01	1.987648e+00	3.318188e+00	1
>1Sequence0000000397	-2.938990e+00	-1.946126e+00	1.053731e+00	1
>1Sequence0000004919	-5.606019e+00	1.266348e+00	1.003223e+00	1
>3Sequence0000004026	-4.864085e+00	-8.382368e-01	-1.206069e-01	1
>2Sequence0000003237	-2.416898e+00	-1.605682e+00	-3.023805e+00	1
>1Sequence0000015037	7.083993e+00	-1.139301e+00	8.127386e+00	0
>1Sequence0000001575	-5.281639e+00	-2.046236e+00	-1.236837e+00	1
>1Sequence0000003492	-3.499657e+00	-1.803540e+00	-1.261666e+00	1
>1Sequence0000003539	-4.933906e+00	-5.872204e-01	-7.454140e-01	1
>3Sequence0000008640	-4.323945e+00	-1.037543e+00	5.663452e-01	1
>3Sequence0000005559	-4.580460e+00	-9.419682e-01	4.852193e-01	1
>1Sequence0000008355	-5.015208e+00	-1.883744e+00	-2.554185e+00	1
>1Sequence0000003270	-3.967348e+00	-2.495902e+00	-2.700863e+00	1
>1Sequence0000003917	-3.141051e+00	-1.291170e+00	-1.387880e+00	1
>3Sequence0000003602	-5.238516e+00	-2.085626e+00	-1.796603e+00	1
>2Sequence0000000218	-5.727424e+00	-1.351240e+00	-1.073281e+00	1
>3Sequence0000001226	-3.894876e+00	-2.905118e+00	9.159602e-01	1
>1Sequence0000011028	-3.797717e+00	-1.483427e+00	-3.032307e-01	1
>1Sequence0000007318	-2.765650e+00	-1.049040e+00	-3.988447e+00	1
>1Sequence0000002207	-6.984247e+00	-1.286368e+00	-1.605978e+00	1
>3Sequence0000007607	-6.474202e+00	-1.054840e-02	1.184374e+00	1
>contig-0_34683_nucleotides	-2.652352e+00	-1.795420e+00	-2.482830e-01	2
>contig-1000000_118336_nucleotides	-4.678592e+00	-1.454619e+00	6.337776e-02	2
>contig-2000000_416_nucleotides	2.404405e+00	4.272733e+00	1.372580e+01	2
>contig-3000000_313_nucleotides	7.331472e+00	-1.314195e+00	9.930979e-01	2
>contig-4000000_182_nucleotides	1.047221e+01	-1.429366e+00	-6.101511e-01	2
>contig-5000000_333_nucleotides	6.771160e+00	-2.809194e+00	1.361821e+00	2
>contig-1_42884_nucleotides	-2.787700e+00	-1.531375e+00	3.030971e-01	2
>contig-1000001_40446_nucleotides	-3.743226e+00	-9.121237e-01	-3.439256e-01	2
>contig-2000001_22307_nucleotides	-3.539972e+00	-2.058399e-01	1.170476e+00	2
>contig-3000001_20465_nucleotides	-3.859969e+00	-8.792518e-01	-3.777884e-01	2
>contig-4000001_119317_nucleotides	-1.558903e+00	-8.560328e-04	1.171326e+00	2
>contig-5000001_17470_nucleotides	-3.018210e+00	6.290333e-02	-6.850547e-02	2
>contig-6000001_10973_nucleotides	-2.766137e+00	-1.339091e+00	1.966409e+00	2
>contig-7000001_9755_nucleotides	-2.960557e+00	-1.284297e+00	-1.243311e+00	2
>contig-8000001_3991_nucleotides	-3.628758e+00	3.882991e+00	1.003639e+00	2
>contig-9000001_25311_nucleotides	-3.275574e+00	3.733139e-01	1.017408e-01	2
>contig-10000001_263_nucleotides	-4.261395e+00	1.726921e+01	-5.779977e+00	2
>contig-11000001_313_nucleotides	1.081955e+01	-3.506881e+00	-1.095181e+00	2
>contig-12000001_207_nucleotides	8.958233e+00	-3.595202e+00	-2.515148e+00	2
>contig-13000001_216_nucleotides	5.468645e+00	-4.233621e+00	-6.540573e+00	2
>contig-2_30099_nucleotides	-1.492950e+00	-9.560375e-01	2.650449e-01	2
>contig-1000002_26355_nucleotides	-2.962998e+00	-1.412824e+00	-1.497309e+00	2
>contig-2000002_15578_nucleotides	-2.727108e+00	-9.665311e-01	3.088078e-01	2
>contig-3000002_8614_nucleotides	-1.722647e+00	1.610235e+00	2.505217e+00	2
